Geo Point;Geo Shape;ID;adresse;patrimoine
43.5770566405, 1.4103773679;"{""type"": ""LineString"", ""coordinates"": [[1.412032029592223, 43.57655468905208], [1.411194458852162, 43.57677302459978], [1.410158519989151, 43.57712132076026], [1.408807350454286, 43.57757752637656], [1.40876586619123, 43.57764134637906]]}";398;ALLEE DE GUYENNE;8 ROBINIER,5 PLATANE,7 TILLEUL,1 ARBRE DE JUDEE
43.5703638102, 1.50053636087;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.50422339018786, 43.568666700260465], [1.506041270825997, 43.56776478940189], [1.507456963754801, 43.56719710529126], [1.508572229264974, 43.56679580874808]], [[1.49998969559504, 43.5705744036316], [1.503072753781158, 43.56922425040709], [1.503956727115103, 43.568785165181616]], [[1.486761487161653, 43.5769504274315], [1.488985070229028, 43.57545191476654]]]}";260;ROUTE DE REVEL;76 PLATANE,4 CHENE,2 TILLEUL
43.5956158725, 1.46634929786;"{""type"": ""LineString"", ""coordinates"": [[1.466242831941871, 43.595778957594625], [1.466455763782639, 43.595452787444536]]}";400;RUE BONAMY;1 CARYER
43.6336886827, 1.43724990722;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.436132394015857, 43.63319254058398], [1.436752781603569, 43.63365931185024], [1.436860494205761, 43.63372975751998], [1.436968442171901, 43.633737518085695], [1.437191617774571, 43.633739475447086]], [[1.436041368471115, 43.633223914078705], [1.436822052416594, 43.633823150474484]], [[1.436901318417871, 43.633891831552155], [1.437824775197215, 43.633899160594176]], [[1.437666811756343, 43.63372292027274], [1.438389364088297, 43.633738369358795], [1.438565395311929, 43.63360366148052]], [[1.437998466017923, 43.633919982867404], [1.438292906363553, 43.633922320839645]], [[1.43850572078138, 43.634011500896655], [1.438573953748535, 43.633924546559406], [1.438668223405473, 43.6338864091697], [1.438721616597259, 43.63389655085289]]]}";14;RUE P. VERLAINE;14 ERABLE,12 TILLEUL
43.6227354006, 1.42286270044;"{""type"": ""LineString"", ""coordinates"": [[1.420820453428387, 43.62342053762319], [1.421507500916374, 43.62328096700468], [1.422442332919588, 43.622957224018826], [1.42485411644388, 43.621897829298895]]}";32;AVENUE D'ELCHE;87 MICOCOULIER
43.6189749037, 1.45648291607;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.455220927046707, 43.61936518781165], [1.45502721470183, 43.61907795022639]], [[1.457589918055972, 43.61886537594996], [1.457423413958376, 43.618749058019475]], [[1.4576796030937, 43.61882293379724], [1.457473622694346, 43.6186991260834]]]}";179;PLACE BETEILLE;9 MICOCOULIER
43.6135905769, 1.47820366283;"{""type"": ""LineString"", ""coordinates"": [[1.477860926882239, 43.6139711579595], [1.478546398786659, 43.6132099958699]]}";120;AVENUE DE LA JUNCASSE;7 FRENE
43.6062643156, 1.42056088427;"{""type"": ""LineString"", ""coordinates"": [[1.420559494015686, 43.60635490837271], [1.420562274515706, 43.606173722869634]]}";422;RUE DES AMIDONNIERS;1 MAGNOLIA
43.6007848115, 1.42834314271;"{""type"": ""LineString"", ""coordinates"": [[1.428374795638167, 43.600825725985665], [1.428375024237283, 43.600823246234484], [1.428279511954674, 43.600781371043354], [1.428381982290998, 43.600747323751776], [1.428375024237283, 43.600823246234484], [1.428380795103652, 43.60082576974977]]}";350;PLACE DES ABATTOIRS;3 PLATANE
43.598243896, 1.45227263725;"{""type"": ""LineString"", ""coordinates"": [[1.452086332068466, 43.59970481989933], [1.4524589424298, 43.59678297201711]]}";146;ALLEE F. VERDIER;147 PLATANE
43.5769005275, 1.36261986854;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.365313470878013, 43.575399902988565], [1.364182291252555, 43.57605624673735], [1.359942290714056, 43.57849441412673], [1.359607666463891, 43.578701594118954]], [[1.359887088380514, 43.5784222056984], [1.360904362639108, 43.57784177463241], [1.361587502289828, 43.57743777444316], [1.364639331210437, 43.57568615774479]], [[1.364767578911681, 43.57560016337191], [1.365763292143851, 43.57503999836963]]]}";420;ALLEE DU GOLF DE LA RAMEE;109 PLATANE,8 CHENE
43.5794425737, 1.44776750991;"{""type"": ""LineString"", ""coordinates"": [[1.446726161262935, 43.57897279853111], [1.448808858563099, 43.579912348935935]]}";199;RUE DU 14ème R.I.;16 SORBIER,4 MICOCOULIER
43.6331950197, 1.43514728867;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.433588119325955, 43.63347659647177], [1.43547472848762, 43.633520786779634], [1.435947977316586, 43.63320372741784]], [[1.435308531254904, 43.63338612933729], [1.435750716310124, 43.633113883293426]], [[1.435898001638334, 43.63303019894101], [1.436458894980609, 43.63263162707805]], [[1.436665225275057, 43.63250599003981], [1.436901705072618, 43.63231695654909]], [[1.433536935342671, 43.6333206445836], [1.435155580328318, 43.633382144195956], [1.435220603385514, 43.63340663605219]], [[1.43690234938157, 43.63227453665402], [1.4368677935704, 43.63185462944024]]]}";12;AVENUE A. RIMBAUD;20 TILLEUL,10 ERABLE
43.5902714799, 1.47987015849;"{""type"": ""LineString"", ""coordinates"": [[1.478959830872978, 43.58943836740956], [1.479974505433669, 43.5895336515638], [1.480274665664356, 43.5900241225558], [1.479775352922645, 43.59089550425899], [1.480210769158237, 43.59166705475694]]}";434;RUE X. DARASSE;6 ERABLE
43.595573101, 1.41584431207;"{""type"": ""LineString"", ""coordinates"": [[1.41600436688622, 43.59595640924723], [1.415684257259835, 43.595189792833615]]}";429;PASSAGE ROQUEMAUREL;12 POIRIER DE CHINE
43.5950115105, 1.41539743782;"{""type"": ""LineString"", ""coordinates"": [[1.422661975651657, 43.596351359639485], [1.415762192641498, 43.59506968567685], [1.408129825928506, 43.59368842610599]]}";354;AVENUE DE LOMBEZ;17 MICOCOULIER,82 PLATANE,74 POIRIER DE CHINE,1 PIN PARASOL
43.6059148313, 1.35758986536;"{""type"": ""LineString"", ""coordinates"": [[1.353987136763591, 43.60642160712215], [1.355432658327753, 43.60633525296163], [1.35886771542316, 43.60615162511815], [1.359123778265376, 43.60601948245313], [1.359850367437901, 43.60490079570426], [1.360149110815856, 43.60471007654555], [1.360782981908816, 43.604532963525514]]}";416;RUE DE CAULET;122 CHENE ROUGE
43.6201880374, 1.46925832533;"{""type"": ""LineString"", ""coordinates"": [[1.469270141285659, 43.61993753664951], [1.469194692949606, 43.61999120392964], [1.469135703371387, 43.62005403730976], [1.469118053453276, 43.62012623390886], [1.469149969876378, 43.620213876554374], [1.469186294611801, 43.6202834668305], [1.469222923030118, 43.620331963447605], [1.4692472056386, 43.6203743416211], [1.46951201847604, 43.620135274420285]]}";446;PLACE DE LA ROSERAIE;8 PLATANE,6 MICOCOULIER,4 CEDRE
43.6445811753, 1.43574833606;"{""type"": ""LineString"", ""coordinates"": [[1.435687179476802, 43.64607589809527], [1.43580949264981, 43.64308645241938]]}";452;Impasse du Baron;15 FRENE
43.6153979222, 1.44525805274;"{""type"": ""LineString"", ""coordinates"": [[1.450548099672383, 43.6142820840699], [1.447793454597104, 43.61554061302585], [1.447174360692626, 43.615664425609815], [1.446424361425467, 43.61565853427548], [1.446015837376056, 43.61561545491651], [1.444229366368505, 43.61535931544379], [1.443537539199585, 43.61530800983771], [1.442912077055734, 43.615321486021], [1.442366484715036, 43.61540611523244], [1.441616147575942, 43.61559698775898], [1.440540225680597, 43.61596314881094], [1.439866031170262, 43.616199072852545]]}";459;Bd des Minimes;76 PLATANE
43.611235155, 1.4568381723;"{""type"": ""LineString"", ""coordinates"": [[1.456615674391468, 43.61140964157442], [1.457060670210917, 43.611060668506035]]}";463;Rue René Leduc;6 TILLEUL
43.6186075677, 1.41498997475;"{""type"": ""LineString"", ""coordinates"": [[1.415030041007019, 43.61889221752675], [1.414949908494524, 43.61832291795312]]}";20;RUE DES TROENES;13 ROBINIER
43.6408466804, 1.48622550695;"{""type"": ""LineString"", ""coordinates"": [[1.482308472936889, 43.63826282302847], [1.483392091304024, 43.63845414116148], [1.483452802969098, 43.6384729343482], [1.483594890292798, 43.63854383667146], [1.483702203431596, 43.638650636349446], [1.483777156244691, 43.63876289101505], [1.48385545315677, 43.63931002511252], [1.484708087333973, 43.64139455768368], [1.484765557150766, 43.641485661500276], [1.484887127599392, 43.64153192536287], [1.485020556067294, 43.641529772431525], [1.48606673806401, 43.641413407421034], [1.486788614210132, 43.641308859519796], [1.487887285795417, 43.64120364420978], [1.487996486128326, 43.641211335434676], [1.488170537146126, 43.64124673750275], [1.489493019054173, 43.64188128495824], [1.490076192096228, 43.64316774305878], [1.490345580442047, 43.64332473208043]]}";473;RUE RAYMONBIS;125 PLATANE,149 CHARME PYRAMIDAL,21 LIBOCEDRE
43.5963730089, 1.48912673492;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.488787799375751, 43.59625093282852], [1.489527451105383, 43.59635550361043]], [[1.488725955760344, 43.59639298148666], [1.48946568516187, 43.596492726627886]]]}";474;PLACE DE L'INDEPENDANCE;10 PLATANE
43.6163272239, 1.44871919448;"{""type"": ""LineString"", ""coordinates"": [[1.448293693111339, 43.617347635007384], [1.449027110004426, 43.616211629058384], [1.448987106537428, 43.61601168426161], [1.448500032621908, 43.61531145502389]]}";460;chemin du Raisin;24 TILLEUL,12 MAGNOLIA
43.6095949394, 1.42883482973;"{""type"": ""LineString"", ""coordinates"": [[1.4278533505759, 43.60923406082134], [1.429816308893503, 43.609955817939806]]}";495;RUE SALIES;9 PLATANE,4 CORYLUS
43.5950928904, 1.38026792938;"{""type"": ""LineString"", ""coordinates"": [[1.379667537921506, 43.59518948231319], [1.380868320841246, 43.5949962984797]]}";496;RUE LE GOFF;2 CHARME,1 FRENE,2 TROENE,2 CORYLUS
43.6190501548, 1.46999687978;"{""type"": ""LineString"", ""coordinates"": [[1.469850159072007, 43.61906182152319], [1.470143600486804, 43.61903848804955]]}";501;RUE ARTHUR LEGOUST;1 FRENE
43.642769846, 1.44426951131;"{""type"": ""LineString"", ""coordinates"": [[1.444363660510912, 43.64276795836033], [1.444175362115466, 43.642771733616506]]}";504;RUE DES CERISIERS;1 MAGNOLIA
43.6538584144, 1.44004810802;"{""type"": ""LineString"", ""coordinates"": [[1.442005436731635, 43.65347821112933], [1.441846253263753, 43.65337309392444], [1.441657772312763, 43.653312070681174], [1.441456596453113, 43.653290033834764], [1.441255136462606, 43.653296778217914], [1.441089530356338, 43.653336729258925], [1.440217736349162, 43.65386469870368], [1.43988837352422, 43.65399867082782], [1.439252144112673, 43.654180622572596], [1.438135013249023, 43.65444883813058], [1.438038970313305, 43.654487184443276]]}";510;RUE VIRGINIA WOOLF;14 MAGNOLIA,54 CHENE
43.6532379876, 1.43991389161;"{""type"": ""LineString"", ""coordinates"": [[1.440173768294041, 43.65379584137177], [1.439654014927732, 43.65268013374301]]}";511;RUE DELPHINE SEYRIG;16 CHENE VERT
43.6183382501, 1.40818583109;"{""type"": ""LineString"", ""coordinates"": [[1.40819079680511, 43.618584496019466], [1.408180865379186, 43.618092004106494]]}";513;CHEMIN GARIC;3 MAGNOLIA
43.6163717126, 1.40734305922;"{""type"": ""LineString"", ""coordinates"": [[1.408225865377013, 43.61687622599729], [1.406460253055806, 43.615867199131216]]}";514;RUE TICKY HOLGADO;30 MICOCOULIER
43.6132156964, 1.42067450271;"{""type"": ""LineString"", ""coordinates"": [[1.421506895732351, 43.61332360570843], [1.419842109680282, 43.613107787066156]]}";518;RUE ANNA POLITKOVSKAIA;5 CHARME PYRAMIDAL,18 CHENE VERT
43.6134827347, 1.42265685667;"{""type"": ""LineString"", ""coordinates"": [[1.423224102968511, 43.613567703799006], [1.422089610380168, 43.61339776551289]]}";519;RUE PHILIPPE WOLFF;11 CHARME PYRAMIDAL
43.6487666384, 1.44604825268;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.446373997810404, 43.64848067982096], [1.447365023489678, 43.647710786206446], [1.447343349554088, 43.64772086762926], [1.447343217585796, 43.64772605202467]], [[1.444728659091772, 43.649978287502414], [1.444575664265705, 43.65009553119676]], [[1.445039008700657, 43.64957270835325], [1.444893287615496, 43.649684857767745]], [[1.446104124998398, 43.64870008535834], [1.445337985436808, 43.64933295174232]], [[1.444623007377195, 43.64991981921607], [1.444470409468398, 43.65002149701145]]]}";525;RUE DU FINISTERE;26 FRENE
43.6141555719, 1.420496729;"{""type"": ""LineString"", ""coordinates"": [[1.4200296765907, 43.61338144156242], [1.420963781403437, 43.614929702294525]]}";533;BOULEVARD DE SUISSE;24 FRENE
43.5637552848, 1.39543926188;"{""type"": ""LineString"", ""coordinates"": [[1.395637728595958, 43.564400670274125], [1.395623261341562, 43.564291914513994], [1.395221534784928, 43.56311441946526]]}";534;CHEMIN DE LESTANG;23 GINGKOS
43.5838532795, 1.40696083227;"{""type"": ""LineString"", ""coordinates"": [[1.406740207511378, 43.583777960064424], [1.407181457018917, 43.583928598856396]]}";538;PLACE LOUIS CAMPAN;34 MICOCOULIER,37 FRENE,44 CHENE VERT
43.5823309167, 1.40755257235;"{""type"": ""LineString"", ""coordinates"": [[1.408310047977969, 43.58117870581732], [1.40816213398697, 43.58135532899642], [1.406818575438844, 43.58350018846745]]}";551;RUE DU LOT;7 CHENE,40 CHENE VERT,26 POIRIER DE CHINE,26 CORYLUS
43.5650877156, 1.39882464225;"{""type"": ""LineString"", ""coordinates"": [[1.398809320299731, 43.56548971525719], [1.398839964193676, 43.56468571587404]]}";540;RUE DE JERUSALEM;6 TILLEUL,6 ARBRE DE JUDEE
43.6342283263, 1.41771364024;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.41744712380219, 43.63508523692817], [1.417349009919794, 43.63494553616356], [1.417293756184157, 43.63479583514544], [1.417256517589786, 43.63453397878167], [1.416982182631746, 43.63254818976627], [1.416870078737426, 43.63231089278956], [1.416557959379964, 43.63202425675733], [1.41574610641588, 43.63171231123343]], [[1.417495175045101, 43.635102215605144], [1.417463063533042, 43.63510792658367], [1.41744712380219, 43.63508523692817]], [[1.417774876336167, 43.63520107075854], [1.41772566119403, 43.63512157690895], [1.417610947315502, 43.6350816243178], [1.417495175045101, 43.635102215605144]], [[1.417760858761212, 43.6353166962713], [1.417774876336167, 43.63520107075854]], [[1.41804477765987, 43.63540921231217], [1.417760858761212, 43.6353166962713]], [[1.420272339808896, 43.63613506763386], [1.41804477765987, 43.63540921231217]]]}";17;RUE LAURENCIN;52 ERABLE,28 CHENE ROUGE,12 CHARME PYRAMIDAL
43.6289955769, 1.41204438987;"{""type"": ""LineString"", ""coordinates"": [[1.413439190668005, 43.62892666639079], [1.412875114131716, 43.62894542440334], [1.411576269791641, 43.62901531603014], [1.410651151222292, 43.629090853159695]]}";457;Impasse André Dandine;35 ORME,32 ERABLE
43.6330284352, 1.41132476671;"{""type"": ""LineString"", ""coordinates"": [[1.413050979255344, 43.63467462815048], [1.41174147992795, 43.63421895417388], [1.411104424445915, 43.63394611524851], [1.410476648843173, 43.63360669126458], [1.410167711353025, 43.63339227295099], [1.41061178229796, 43.6330557006928], [1.410893595765292, 43.63276623903743], [1.411148308974381, 43.63235761243614], [1.411316926002184, 43.63196973851742], [1.411389941243179, 43.631629892842], [1.411454685607165, 43.63059270237783], [1.411530993595822, 43.6304268645018]]}";491;RUE DE L'EGALITE;108 ERABLE,78 CHENE
43.6333025885, 1.41449307465;"{""type"": ""LineString"", ""coordinates"": [[1.415455793866395, 43.6318821388504], [1.415295982509351, 43.632367921352625], [1.415074373509688, 43.63276238433518], [1.414882667804495, 43.633022937736136], [1.414217446504913, 43.633639770544846], [1.413920918747684, 43.6339153259265], [1.413796739178232, 43.63399769270142], [1.413324900227257, 43.63459173296047]]}";492;CHEMIN DE CHANTELLE;36 MICOCOULIER,45 POMMIER
43.6165077151, 1.40581917187;"{""type"": ""LineString"", ""coordinates"": [[1.4068877698832, 43.615325047168646], [1.405029395737754, 43.617035661332835], [1.405936415884575, 43.61755898980546]]}";515;RUE BARDOU;12 PIN PARASOL,31 MICOCOULIER
43.6105203072, 1.43948636827;"{""type"": ""LineString"", ""coordinates"": [[1.439579429732848, 43.61048217920631], [1.439460580863342, 43.610505838208155], [1.439429481523568, 43.610599413604916]]}";64;PLACE A. BERNARD;2 MICOCOULIER,1 LIQUIDAMBAR,1 TROENE,1 CHARME,1 ALBIZIA
43.6036025264, 1.45527054491;"{""type"": ""LineString"", ""coordinates"": [[1.45421505293829, 43.603961976428295], [1.455699675442582, 43.60398090644347], [1.455906923831746, 43.60394072945118], [1.456063149395812, 43.60382950032497], [1.456144824221853, 43.60363321159139], [1.456142314636788, 43.603533574528186], [1.455957624030825, 43.60332824559138], [1.455743519760013, 43.60324222914606], [1.454261320179357, 43.60317763871361]]}";88;BVD MICHELET;49 PLATANE,16 ERABLE,4 ARBRE DE JUDEE
43.6365637932, 1.46456208148;"{""type"": ""LineString"", ""coordinates"": [[1.468399719713643, 43.64390083175147], [1.46799949832957, 43.6434029985937], [1.467604108042433, 43.64281293577475], [1.467164492475129, 43.64203039126679], [1.467053800118076, 43.64202892430601], [1.466949364136212, 43.64197911293726], [1.466915795862982, 43.64186261281817], [1.466994525428129, 43.64178415624575], [1.466277999251429, 43.64055566457725], [1.465901251349476, 43.639826036263145], [1.465385731211911, 43.63871168397441], [1.465298161771451, 43.63854147075076], [1.465133424330008, 43.63823773100001], [1.464611820361138, 43.63716624480326], [1.464160954759546, 43.63613407136981], [1.463933944293119, 43.63565588866267], [1.4636691609223, 43.63482904317662], [1.463539540738669, 43.63443073334921], [1.463368774572862, 43.633818052436915], [1.463253949622119, 43.63338156222398], [1.463108724034418, 43.632803941547145], [1.462706607419745, 43.63188663614511], [1.462540090721703, 43.63160480360937], [1.461857764096417, 43.63042515931648], [1.461108635578783, 43.62935153352023], [1.460874910724775, 43.62904139194731]]}";50;ROUTE D'ALBI;139 PLATANE,4 POIRIER DE CHINE
43.5787934069, 1.4951509136;"{""type"": ""LineString"", ""coordinates"": [[1.494262914729658, 43.57381521546463], [1.49464737630421, 43.574076090978], [1.49509858823247, 43.57448404528384], [1.495410616637864, 43.574879214104264], [1.495661050424463, 43.57532566935671], [1.496246193770683, 43.57657423625591], [1.496386039714881, 43.57707133947311], [1.496627923583131, 43.57822313583458], [1.496626667120079, 43.57822311948645], [1.496620339830164, 43.57822486463326], [1.496612733589312, 43.578227506875265], [1.496605149835373, 43.57822923567295], [1.496597543593322, 43.57823187791396], [1.496591216301664, 43.57823362305917], [1.496583610058465, 43.57823626529927], [1.496577260277967, 43.57823892388753], [1.496570888008833, 43.57824249591928], [1.496564515738956, 43.57824606795065], [1.496556909493049, 43.57824871018897], [1.49655052855644, 43.57825228210684], [1.496545412748049, 43.57825587048611], [1.496539040475287, 43.57825944251607], [1.496533902021886, 43.57826395063827], [1.496527529747604, 43.57826752266759], [1.496522413936589, 43.57827111104581], [1.496517275636074, 43.57827561286763], [1.496510903359603, 43.578279184896026], [1.496505742568488, 43.57828460016112], [1.496501860729981, 43.57828911833168], [1.496496722426437, 43.57829362015254], [1.49649284058669, 43.57829813832278], [1.496488958746372, 43.57830265649288], [1.496485054416085, 43.57830808810663], [1.496481150085104, 43.57831351972022], [1.496478524707906, 43.578318054239666], [1.496474620375709, 43.578323485853026], [1.496471994997594, 43.57832802037232], [1.49646932463982, 43.578334381779065], [1.496466676771169, 43.57833982974198], [1.496464051236663, 43.57834437056066], [1.496461403367108, 43.578349818523435], [1.496459989473022, 43.57835619627984], [1.496457341602592, 43.578361644242506], [1.496455950197654, 43.57836710855509], [1.496455815258548, 43.578372589217636], [1.496454423853224, 43.5783780535302], [1.496453009957756, 43.578384431286466], [1.496452875018347, 43.57838991194898], [1.496452740078915, 43.57839539261149], [1.496452605139458, 43.57840087327401], [1.496452447710061, 43.57840726738026], [1.496452312770552, 43.57841274804272], [1.496453434298035, 43.57841824505522], [1.496454555825723, 43.5784237420677], [1.496455677353612, 43.57842923908015], [1.496456776391839, 43.578435649536324], [1.496457897920147, 43.57844114654873], [1.496461532228761, 43.57844668256063], [1.496462676247479, 43.578451266129235], [1.496465054244417, 43.578456779491454], [1.496467409752072, 43.57846320629736], [1.496471066707625, 43.578467822565564], [1.496473444705965, 43.57847333592757], [1.496477101662578, 43.5784779521956], [1.496479479661857, 43.57848346555747], [1.496484393087999, 43.578488098174944], [1.496488027556908, 43.57849362788631], [1.496491684515842, 43.578498244153806], [1.496496597944096, 43.57850287677076], [1.496500254904231, 43.57850749303798], [1.49650516833388, 43.57851212565455], [1.496510081609177, 43.578516764570495], [1.496516273998479, 43.57852050009225], [1.496521164941457, 43.57852604615184], [1.496526100863045, 43.57852976532377], [1.496531036785234, 43.57853348449548], [1.496537229177513, 43.57853722001608], [1.49654342157055, 43.578540955536354], [1.496549622629648, 43.578544691169036], [1.495416274601116, 43.57990429895723], [1.494391081599536, 43.58110721602368], [1.494388591077742, 43.58110626983631], [1.494378583947478, 43.58110431197127], [1.494369833339539, 43.581102370478014], [1.494361082732159, 43.581100428984094], [1.494352323459667, 43.581098487376615], [1.494342293809373, 43.58109744295087], [1.494333520680976, 43.58109641489734], [1.494324770075601, 43.58109447340067], [1.494313461382058, 43.58109432604176], [1.494304688254591, 43.58109329798602], [1.49429591512742, 43.58109226992963], [1.494287119477253, 43.581092155315034], [1.494275810784232, 43.58109200795244], [1.49426701513414, 43.58109189333632], [1.494258219484082, 43.58109177871951], [1.494249423834056, 43.58109166410205], [1.494239349138633, 43.5810924465523], [1.494229265777286, 43.58109322888875], [1.49422044760282, 43.58109402771153], [1.494211629428119, 43.58109482653363], [1.494201554731688, 43.5810956089806], [1.494192714031811, 43.581097321243696], [1.494183873331434, 43.58109903350611], [1.494175032630561, 43.58110074576788], [1.494164935407566, 43.581102441654075], [1.494156094705669, 43.58110415391438], [1.494147231477888, 43.58110677961643], [1.494138390774867, 43.58110849187537], [1.494130784067494, 43.58111113395134], [1.494120641789974, 43.5811146567185], [1.494113026415394, 43.581117298680375], [1.494104163183854, 43.58111992437912], [1.494096533947423, 43.58112347989523], [1.494088927236373, 43.58112612196842], [1.494078784953946, 43.5811296447319], [1.494071133188286, 43.581134113688734], [1.49406350394816, 43.58113766920266], [1.494055874707146, 43.58114122471605], [1.49404950198771, 43.5811447966051], [1.494041850218009, 43.581149265559986], [1.494032919397422, 43.58115463158041], [1.494026546675244, 43.58115820346819], [1.494020151269651, 43.581162695097596], [1.494013756018481, 43.58116718042703], [1.494009896339859, 43.58117078506689], [1.494004735082626, 43.58117620021478], [1.49400083034769, 43.581181631739106], [1.493996916946384, 43.58118706315032], [1.493991778214367, 43.58119156485524], [1.493986594425946, 43.58119789344462], [1.493983946211667, 43.58120334134514], [1.493980041473146, 43.5812087728687], [1.493976136733934, 43.58121420439213], [1.493973465989984, 43.58122056573475], [1.493970795245478, 43.581226927077296], [1.493968146873164, 43.581232381277005], [1.493965498655744, 43.581237829177034], [1.49396408458951, 43.58124420059684], [1.493961413687626, 43.581250568238694], [1.493959999465304, 43.581256945958025], [1.493958607770957, 43.581262410234984], [1.493957193548067, 43.58126878795422], [1.493955779324885, 43.58127516567346], [1.493955621626664, 43.58128155976981], [1.493954229931362, 43.58128702404667], [1.493954072232948, 43.581293418143], [1.493953892006148, 43.581300725681665], [1.493955013361787, 43.581306222712804], [1.493956112189301, 43.58131263318628], [1.493955977019346, 43.581318113840226], [1.493957053318864, 43.58132543775598], [1.49395817451987, 43.58133094108666], [1.493959273348163, 43.58133735156004], [1.493961651231477, 43.58134286496817], [1.49396275006035, 43.58134927544148], [1.493965105416238, 43.58135570229184], [1.493967483300793, 43.58136121569982], [1.493971095184671, 43.58136765892706], [1.493973473070233, 43.5813731723349], [1.493975850956224, 43.58137868574268], [1.493979462842021, 43.5813851289696], [1.49398309725653, 43.58139065875412], [1.493986731671694, 43.581396188538484], [1.493990366087518, 43.581401718322724], [1.493995288069972, 43.58140635745384], [1.49399890011482, 43.581412794380505], [1.494003790905455, 43.58141834684058], [1.494008704379921, 43.58142297955856], [1.494013617855131, 43.58142761227629], [1.494018508803655, 43.58143315843613], [1.494024678808918, 43.581437807529866], [1.494029592286537, 43.581442440246896], [1.494035739766399, 43.581448002782324], [1.494040675772784, 43.5814517220566], [1.494046845781613, 43.58145637114911], [1.494054294847267, 43.581460123175084], [1.494060464857981, 43.58146477226686], [1.494066657396363, 43.58146850791603], [1.494072849935502, 43.581472243564804], [1.494079042475396, 43.581475979213295], [1.494087725548375, 43.58148066105521], [1.494093940616361, 43.58148348326055], [1.49410141221443, 43.58148632184117], [1.49410886995281, 43.581490073976525], [1.49411634139703, 43.58149291885577], [1.494123813152645, 43.581495751135336], [1.494131284598254, 43.58149859601358], [1.494138778725571, 43.58150052114948], [1.494148763542904, 43.58150338617772], [1.49415625751601, 43.581505317612056], [1.494163751644936, 43.58150724274632], [1.493740445439528, 43.58266682051002], [1.493642138903605, 43.58283002402031], [1.493428879068564, 43.58311783055432], [1.493069383820523, 43.58352435542322], [1.492923202253142, 43.58369433838084]]}";542;AV MARCEL DASSAULT;139 TILLEUL,24 POIRIER,40 CHENE VERT,45 PIN PARASOL,82 FRENE
43.5790149868, 1.47740158837;"{""type"": ""LineString"", ""coordinates"": [[1.480587369063139, 43.57960699571268], [1.479334984712591, 43.579320942010064], [1.478332316698523, 43.57910305156653], [1.477587586752152, 43.57892510076509], [1.476634047640627, 43.5787032739965], [1.47626539530051, 43.578667339551174], [1.475866268885986, 43.57864380061504], [1.475355737491301, 43.5787019470127], [1.474834800338864, 43.578875091419256], [1.474239813213541, 43.57910560907243]]}";242;RUE DE VENASQUE;28 CHENE,44 CHENE VERT
43.5840459651, 1.444064495;"{""type"": ""LineString"", ""coordinates"": [[1.447742039525068, 43.58440564517401], [1.445677044222151, 43.58409277406411], [1.444938221643532, 43.583980488102405], [1.444169616378892, 43.58390251869388], [1.443529646606351, 43.58390669276056], [1.443226494098206, 43.58391449400888], [1.442709536449949, 43.58392580318947], [1.441522503529127, 43.58398838822528], [1.44091325582508, 43.58402037452923], [1.440368489057519, 43.58403769426518]]}";195;BVD DES RECOLLETS;37 PLATANE,3 TILLEUL,3 PIN PARASOL
43.5712836722, 1.418575562;"{""type"": ""LineString"", ""coordinates"": [[1.41950199696004, 43.570923243212], [1.41832850167613, 43.571199603486235], [1.418164845445922, 43.571258590652796], [1.418112999549647, 43.57131910860634], [1.418108191874152, 43.5714076832468], [1.418255568118634, 43.57173502280931], [1.418223893991872, 43.5717930694155], [1.417999049059803, 43.57188502748682]]}";493;RUE COURTOIS DE VICOSE;12 PLATANE
43.577179102, 1.41274423765;"{""type"": ""LineString"", ""coordinates"": [[1.412958675395177, 43.57674156993696], [1.4127727128126, 43.577215459163526], [1.412456175662993, 43.577571456927316]]}";325;ALLEE DU QUERCY;20 ROBINIER
43.598562853, 1.39301832451;"{""type"": ""LineString"", ""coordinates"": [[1.393229285298633, 43.59857953120535], [1.393180510686889, 43.59847376552076], [1.393079195596296, 43.598405646885645], [1.39284667596564, 43.598449935290795], [1.392815072576796, 43.59859935726928], [1.392922870621685, 43.59870777760301], [1.39315702397385, 43.59869732052156], [1.393229285298633, 43.59857953120535]]}";368;ROND POINT LESPES;18 CHENE,12 EUCALYPTUS
43.5570833321, 1.38058563742;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.380434576536718, 43.55736737788837], [1.380849034270459, 43.55713833806409], [1.380506985170155, 43.556863962493445], [1.38023411662687, 43.557013655267646]], [[1.380558307779019, 43.55722096286156], [1.380553939981245, 43.55721771289058]]]}";375;PLACE EGLISE ST SIMON;20 PLATANE
