Geo Point;Geo Shape;ID;adresse;patrimoine
43.5920271603, 1.45918045728;"{""type"": ""LineString"", ""coordinates"": [[1.460683235732805, 43.58951605951489], [1.460557405463782, 43.590318531105694], [1.460496379219913, 43.59059460647637], [1.460425319286212, 43.590770024181424], [1.460294778701856, 43.59096109670759], [1.460097134733353, 43.59112112157745], [1.459725631481671, 43.591394880302744], [1.459492039006919, 43.591633926666894], [1.459366602523935, 43.5919712770851], [1.459104908909646, 43.592277564763315], [1.458442733992682, 43.59295865773167], [1.458078659069693, 43.59333577544259], [1.457749297167206, 43.59368228181246], [1.457171926922934, 43.594290480022046]]}";388;BVD GRIFFOUL DORVAL;110 PLATANE
43.5766717774, 1.4581112542;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.459684681313431, 43.57672221818601], [1.459626183752523, 43.57679911287653], [1.458527245691293, 43.57671409214413], [1.456944599257212, 43.57657143224542], [1.455356772830706, 43.576435077529915]], [[1.460853777013829, 43.57691599057747], [1.45990946178727, 43.57683030147392], [1.459732457059605, 43.57672194134785]]]}";208;AVENUE DES AVIONS;70 PLATANE,1 PIN PARASOL
43.5764163684, 1.41472956024;"{""type"": ""LineString"", ""coordinates"": [[1.417194509159487, 43.57606204966203], [1.416514158473266, 43.57626930568351], [1.41587816527835, 43.57646253957432], [1.415578214656874, 43.57654158450614], [1.414938424329606, 43.57639664728943], [1.414192536414826, 43.576271272942314], [1.412985460775, 43.5766741436353], [1.412254920406977, 43.576538909998575]]}";324;ALLEE DE L'ILE DE France;64 PLATANE,8 ERABLE,8 PRUNUSPISSARDI
43.5964100954, 1.42304082325;"{""type"": ""LineString"", ""coordinates"": [[1.423330976764982, 43.59645641845718], [1.423304547317354, 43.59636010206955], [1.423261086222812, 43.59629006453773], [1.423162490758054, 43.596212872278244], [1.422937943498347, 43.59624178962755], [1.422763954930318, 43.59635730116651], [1.422762993443558, 43.596443180101424], [1.422814165964619, 43.596555367937164], [1.422910233206093, 43.5965840911887], [1.423078664518679, 43.59658638934237], [1.423191261609988, 43.59655959943242], [1.423330976764982, 43.59645641845718]]}";337;PLACE DE LA PATTE D'OIE;11 PLATANE
43.6030309076, 1.39378873031;"{""type"": ""LineString"", ""coordinates"": [[1.394351170706343, 43.604592500381045], [1.394288745463072, 43.60395378633515], [1.39427642529182, 43.60384852779182], [1.393721761551781, 43.60327882806557], [1.393271333054455, 43.60141407094697]]}";365;RUE DE LISIEUX;8 CHENE,3 CHATAIGNER,11 MICOCOULIER,10 PTEROCARYAS,3 DIVERS
43.6085468008, 1.38029758909;"{""type"": ""LineString"", ""coordinates"": [[1.387926803933781, 43.608150122002215], [1.387675258390326, 43.60819870384079], [1.387219089325449, 43.60832850172916], [1.386472380560152, 43.60860227652895], [1.385988186516137, 43.608650342201834], [1.385471854565374, 43.60862942583998], [1.383536964894268, 43.60832276002227], [1.382833619340308, 43.60824073034844], [1.382466872010187, 43.60827032802345], [1.382047148037528, 43.60835309432401], [1.381755972250034, 43.60847329491851], [1.380959176682259, 43.60892726838605], [1.380746309248712, 43.60898734194939], [1.380466487770694, 43.60901084090108], [1.380179835515442, 43.60900773841504], [1.379610273179697, 43.608670781009856], [1.378971420744487, 43.6083858465817], [1.378549879612825, 43.60830043838466], [1.377510078163125, 43.60848049060371], [1.37695863813214, 43.60855042478361], [1.375578624031231, 43.60861328497256], [1.373506995468765, 43.608672796120416], [1.372586630548305, 43.6087119268689]]}";362;ROUTE DE BAYONNE;26 CHARME PYRAMIDAL,1 PLATANE,28 PIN PARASOL,36 MICOCOULIER
43.6070001721, 1.36743445826;"{""type"": ""LineString"", ""coordinates"": [[1.36767586783924, 43.60696309184577], [1.367670959747892, 43.60705257665965], [1.367607378210987, 43.607125699135764], [1.367481385099152, 43.6071814926364], [1.36735449057428, 43.607176952952976], [1.367242253902864, 43.60714155885497], [1.367195149684473, 43.60702209929026], [1.367207722749347, 43.60692815398543], [1.367268561957233, 43.606863216767046], [1.367339745548694, 43.606834975753486], [1.367440828534057, 43.60681721455293], [1.367552238763408, 43.606836149238354], [1.367625751648058, 43.60686186499358], [1.36767586783924, 43.60696309184577]]}";418;RD POINT FOURNIER;1 OLIVIER,4 CHARME PYRAMIDAL
43.5623100351, 1.37605868578;"{""type"": ""LineString"", ""coordinates"": [[1.378029255200758, 43.56116350432624], [1.377769795330732, 43.56128049042421], [1.377270931497714, 43.56156316594575], [1.376681123091439, 43.56186375668947], [1.376524117096334, 43.56204979849612], [1.374902187055722, 43.562648396393705], [1.374715609414267, 43.56267044303318], [1.37479432432513, 43.56278212253871], [1.375447312248459, 43.56374535498855]]}";296;RUE J. MAZELLIER;30 MICOCOULIER,7 ERABLE
43.5551750679, 1.38095446158;"{""type"": ""LineString"", ""coordinates"": [[1.3819771632012, 43.554586273658714], [1.379931759952427, 43.555763862075906]]}";530;RUE ROBERT FOLUS;19 CERISIER A FLEUR
43.5802353769, 1.37344111387;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.374668464692107, 43.5809719709004], [1.371894871958901, 43.58028502262361], [1.371550242347979, 43.58024543687148], [1.37030044484682, 43.580257062728315], [1.369458037491978, 43.580264367051676], [1.369186089439589, 43.58023311625275], [1.368771087619265, 43.58014592707885], [1.367371939106175, 43.57967838472531]], [[1.378707362812843, 43.57836764892751], [1.377403932331548, 43.5802574217854], [1.376987246816013, 43.58051658517642], [1.37670902568043, 43.58062690313397], [1.375175033256477, 43.580972699041915]], [[1.37517384968506, 43.58096994111815], [1.374667110956987, 43.580975606899244]]]}";282;RUE GRYNFOGEL;100 FRENE,82 CHENE,46 PIN PARASOL,17 SORBIER,37 CHARME
43.562622111, 1.40139387762;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.402260812487121, 43.56285094358799], [1.401836788668473, 43.562294949936614], [1.400611522449974, 43.562535697015136], [1.400359994939713, 43.56244722802482], [1.400199503010697, 43.56238560462529], [1.399503114010543, 43.562105465608326]], [[1.402260812487121, 43.56285094358799], [1.402099236101096, 43.562638524815476]], [[1.402808954413582, 43.56365903452334], [1.402756130636656, 43.56351666503692], [1.402260812487121, 43.56285094358799]]]}";289;RUE P. GAUGUIN;23 MURIER,2 CHENE,8 MICOCOULIER
43.5586572998, 1.41033466166;"{""type"": ""LineString"", ""coordinates"": [[1.411006098666177, 43.55970556047921], [1.410698540635581, 43.55921060236792], [1.409668905777545, 43.557636528541146], [1.409647957771756, 43.55762070618465]]}";539;CHEMIN DU CHAPITRE;5 ARBRE DE JUDEE,5 SAVONNIER
43.6357212619, 1.43183395611;"{""type"": ""LineString"", ""coordinates"": [[1.431584241332715, 43.63583828925335], [1.431659615748675, 43.635524288651816], [1.432079724329651, 43.63557889775439], [1.431991795466876, 43.63592639147073], [1.431583767128885, 43.63587360952983]]}";3;PLACE F. FAURE;30 MICOCOULIER,23 ROBINIER
43.6270058592, 1.42614599895;"{""type"": ""LineString"", ""coordinates"": [[1.426060736610189, 43.626961765836825], [1.426231261287899, 43.62704995255345]]}";25;RUE J. NICOT;4 ROBINIER
43.6248375818, 1.42418723063;"{""type"": ""LineString"", ""coordinates"": [[1.424212856297612, 43.62490420666872], [1.424250452284809, 43.62483267882735], [1.42408173820061, 43.62481311946303]]}";27;RUE PRADIER;3 TILLEUL
43.6366787437, 1.44248287684;"{""type"": ""LineString"", ""coordinates"": [[1.442321897173379, 43.6366753943292], [1.442643856500106, 43.63668209316615]]}";38;CHEM. D'AUDIBERT;8 MICOCOULIER,4 TILLEUL,1 CHENE
